momento,Potência Ativa Trifásica (kW),Ultrapassagem
2024-10-03 08:45:00,34.7725201380898,False
2024-10-03 09:00:00,36.5791484464902,False
2024-10-03 09:15:00,45.5364787111623,False
2024-10-03 09:30:00,47.765247410817,False
2024-10-03 09:45:00,48.1998158803222,False
2024-10-03 10:00:00,43.9620264317181,False
2024-10-03 10:15:00,46.4727649769585,False
2024-10-03 10:30:00,50.4635294117647,False
2024-10-03 10:45:00,50.069413118527,False
2024-10-03 11:00:00,47.3223935558113,False
2024-10-03 11:15:00,57.4645339470656,False
2024-10-03 11:30:00,55.627663981588,False
2024-10-03 11:45:00,48.5800677966102,False
2024-10-03 12:00:00,58.2392677345538,False
2024-10-03 12:15:00,59.8740552995392,False
2024-10-03 12:30:00,58.723084004603,False
2024-10-03 12:45:00,56.8236095346198,False
2024-10-03 13:00:00,62.7133256616801,False
2024-10-03 13:15:00,65.9446260069045,False
2024-10-03 13:30:00,74.7631760644419,True
2024-10-03 13:45:00,74.3687917146145,True
2024-10-03 14:00:00,70.9085062713797,False
2024-10-03 14:15:00,73.5613808975834,True
2024-10-03 14:30:00,77.170080552359,True
2024-10-03 14:45:00,75.5266743383199,True
2024-10-03 15:00:00,74.95166858458,True
2024-10-03 15:15:00,79.099746835443,True
2024-10-03 15:30:00,83.4980437284235,True
2024-10-03 15:45:00,76.89666283084,True
2024-10-03 16:00:00,70.1357882623705,False
2024-10-03 16:15:00,70.4290909090909,False
2024-10-03 16:30:00,67.1290218642117,False
2024-10-03 16:45:00,66.758250863061,False
2024-10-03 17:00:00,67.7715535097814,False
2024-10-03 17:15:00,67.9745454545455,False
2024-10-03 17:30:00,58.3436133486766,False
2024-10-03 17:45:00,55.4611277330265,False
2024-10-03 18:00:00,53.6594706559264,False
2024-10-03 18:15:00,56.433003452244,False
2024-10-03 18:30:00,58.8469505178366,False
2024-10-03 18:45:00,58.9641887226697,False
2024-10-03 19:00:00,68.0234292289989,False
2024-10-03 19:15:00,69.7447180667434,False
2024-10-03 19:30:00,69.4265592635213,False
2024-10-03 19:45:00,69.7931875719218,False
2024-10-03 20:00:00,60.6854775604143,False
2024-10-03 20:15:00,63.1702646720368,False
2024-10-03 20:30:00,63.6582738780207,False
2024-10-03 20:45:00,62.1946605293441,False
2024-10-03 21:00:00,60.5711392405063,False
2024-10-03 21:15:00,52.2911392405063,False
2024-10-03 21:30:00,46.7958573072497,False
2024-10-03 21:45:00,43.4667894131185,False
2024-10-03 22:00:00,40.2543215507412,False
2024-10-03 22:15:00,36.9039355581128,False
2024-10-03 22:30:00,35.9734867663982,False
2024-10-03 22:45:00,34.8512313003452,False
2024-10-03 23:00:00,33.9738089758343,False
2024-10-03 23:15:00,32.3610586881473,False
2024-10-03 23:30:00,33.0744303797468,False
2024-10-03 23:45:00,32.4919677790564,False
2024-10-04 00:00:00,32.0743843498274,False
2024-10-04 00:15:00,31.9024626006905,False
2024-10-04 00:30:00,31.406996547756,False
2024-10-04 00:45:00,32.0872266973533,False
2024-10-04 01:00:00,31.6286301369863,False
2024-10-04 01:15:00,31.1579591836735,False
2024-10-04 01:30:00,31.2235051546392,False
2024-10-04 01:45:00,30.0708040770102,False
2024-10-04 02:00:00,29.9219657142857,False
